adduser	3.118ubuntu5
apt	2.4.14
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
bsdutils	1:2.37.2-4ubuntu3.5
ca-certificates	20240203~22.04.1
coreutils	8.32-4.1ubuntu1.3
curl	7.81.0-1ubuntu1.23
dash	0.5.11+git20210903+057cd650a4ed-3build1
debconf	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.5
dpkg	1.21.1ubuntu2.6
e2fsprogs	1.46.5-2ubuntu1.2
findutils	4.8.0-1ubuntu3
fontconfig	2.13.1-4.2ubuntu5
fontconfig-config	2.13.1-4.2ubuntu5
fonts-dejavu-core	2.37-2build1
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04.3
gnupg	2.2.27-3ubuntu2.5
gnupg-l10n	2.2.27-3ubuntu2.5
gnupg-utils	2.2.27-3ubuntu2.5
gpg	2.2.27-3ubuntu2.5
gpg-agent	2.2.27-3ubuntu2.5
gpg-wks-client	2.2.27-3ubuntu2.5
gpg-wks-server	2.2.27-3ubuntu2.5
gpgconf	2.2.27-3ubuntu2.5
gpgsm	2.2.27-3ubuntu2.5
gpgv	2.2.27-3ubuntu2.5
grep	3.7-1build1
gzip	1.10-4ubuntu4.1
hostname	3.23ubuntu2
init-system-helpers	1.62
libacl1:amd64	2.3.1-1
libapt-pkg6.0:amd64	2.4.14
libarchive13:amd64	3.6.0-1ubuntu1.8
libasound2:amd64	1.2.6.1-1ubuntu1.2
libasound2-data	1.2.6.1-1ubuntu1.2
libassuan0:amd64	2.5.5-1build1
libattr1:amd64	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1:amd64	1:3.0.7-1build1
libblkid1:amd64	2.37.2-4ubuntu3.5
libbrotli1:amd64	1.0.9-2build6
libbsd0:amd64	0.11.5-1
libbz2-1.0:amd64	1.0.8-5build1
libc-bin	2.35-0ubuntu3.13
libc6:amd64	2.35-0ubuntu3.13
libcap-ng0:amd64	0.7.9-2.2build3
libcap2:amd64	1:2.44-1ubuntu0.22.04.2
libcom-err2:amd64	1.46.5-2ubuntu1.2
libcrypt1:amd64	1:4.4.27-1
libcurl4:amd64	7.81.0-1ubuntu1.23
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3
libdebconfclient0:amd64	0.261ubuntu1
libdeflate0:amd64	1.10-2
libdrm-amdgpu1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-common	2.4.113-2~ubuntu0.22.04.1
libdrm-intel1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1
libedit2:amd64	3.1-20210910-1build1
libelf1:amd64	0.186-1ubuntu0.1
libexpat1:amd64	2.4.7-1ubuntu0.7
libext2fs2:amd64	1.46.5-2ubuntu1.2
libffi8:amd64	3.4.2-4
libfontconfig1:amd64	2.13.1-4.2ubuntu5
libfontenc1:amd64	1:1.1.4-1build3
libfreetype6:amd64	2.11.1+dfsg-1ubuntu0.3
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04.3
libgcrypt20:amd64	1.9.4-3ubuntu3
libgif7:amd64	5.1.9-2ubuntu0.3
libgl1:amd64	1.4.0-1
libgl1-mesa-dri:amd64	23.2.1-1ubuntu3.1~22.04.3
libglapi-mesa:amd64	23.2.1-1ubuntu3.1~22.04.3
libglib2.0-0:amd64	2.72.4-0ubuntu2.9
libglvnd0:amd64	1.4.0-1
libglx-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.3
libglx0:amd64	1.4.0-1
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30:amd64	3.7.3-4ubuntu1.8
libgomp1:amd64	12.3.0-1ubuntu1~22.04.3
libgpg-error0:amd64	1.43-3
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.7
libhogweed6:amd64	3.7.3-1build2
libice6:amd64	2:1.0.10-1build2
libicu70:amd64	70.1-2
libidn2-0:amd64	2.3.2-2build1
libjbig0:amd64	2.1-3.1ubuntu0.22.04.1
libjpeg-turbo8:amd64	2.1.2-0ubuntu1
libjpeg8:amd64	8c-2ubuntu10
libk5crypto3:amd64	1.19.2-2ubuntu0.7
libkeyutils1:amd64	1.6.1-2ubuntu3
libkrb5-3:amd64	1.19.2-2ubuntu0.7
libkrb5support0:amd64	1.19.2-2ubuntu0.7
libksba8:amd64	1.6.0-2ubuntu0.2
libldap-2.5-0:amd64	2.5.20+dfsg-0ubuntu0.22.04.1
liblept5:amd64	1.82.0-3build1
libllvm15:amd64	1:15.0.7-0ubuntu0.22.04.3
liblz4-1:amd64	1.9.3-2build2
liblzma5:amd64	5.2.5-2ubuntu1
libmd0:amd64	1.0.4-1build1
libmount1:amd64	2.37.2-4ubuntu3.5
libmpdec3:amd64	2.5.1-2build2
libncurses6:amd64	6.3-2ubuntu0.1
libncursesw6:amd64	6.3-2ubuntu0.1
libnettle8:amd64	3.7.3-1build2
libnghttp2-14:amd64	1.43.0-1ubuntu0.2
libnpth0:amd64	1.6-3build2
libnsl2:amd64	1.3.0-2build2
libopenjp2-7:amd64	2.4.0-6ubuntu0.5
libp11-kit0:amd64	0.24.0-6build1
libpam-modules:amd64	1.4.0-11ubuntu2.6
libpam-modules-bin	1.4.0-11ubuntu2.6
libpam-runtime	1.4.0-11ubuntu2.6
libpam0g:amd64	1.4.0-11ubuntu2.6
libpciaccess0:amd64	0.16-3
libpcre2-8-0:amd64	10.39-3ubuntu0.1
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1
libpixman-1-0:amd64	0.40.0-1ubuntu0.22.04.1
libpng16-16:amd64	1.6.37-3ubuntu0.4
libprocps8:amd64	2:3.3.17-6ubuntu2.1
libpsl5:amd64	0.21.0-1.2build2
libpython3-stdlib:amd64	3.10.6-1~22.04.1
libpython3.10-minimal:amd64	3.10.12-1~22.04.15
libpython3.10-stdlib:amd64	3.10.12-1~22.04.15
libreadline8:amd64	8.1.2-1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2
libseccomp2:amd64	2.5.3-2ubuntu3~22.04.1
libselinux1:amd64	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2:amd64	3.3-1build2
libsensors-config	1:3.6.0-7ubuntu1
libsensors5:amd64	1:3.6.0-7ubuntu1
libsepol2:amd64	3.3-1build1
libsm6:amd64	2:1.2.3-1build2
libsmartcols1:amd64	2.37.2-4ubuntu3.5
libsqlite3-0:amd64	3.37.2-2ubuntu0.5
libss2:amd64	1.46.5-2ubuntu1.2
libssh-4:amd64	0.9.6-2ubuntu0.22.04.7
libssl3:amd64	3.0.2-0ubuntu1.21
